Date Time,p (mbar),T (degC),rh (%),wv (m/s),rain (mm)
26.11.2003 01:10:00,  983.98,    8.12,   94.90,    0.00,    0.00
26.11.2003 01:20:00,  983.99,    8.00,   95.50,    0.00,    0.00
26.11.2003 01:30:00,  983.90,    7.96,   95.80,    0.00,    0.00
26.11.2003 01:40:00,  983.88,    7.94,   96.00,    0.00,    0.00
26.11.2003 01:50:00,  983.88,    7.80,   96.10,    0.00,    0.00
26.11.2003 02:00:00,  984.02,    7.71,   96.60,    0.00,    0.00
26.11.2003 02:10:00,  984.16,    7.72,   97.00,    0.00,    0.00
26.11.2003 02:20:00,  984.15,    7.63,   96.90,    0.00,    0.00
26.11.2003 02:30:00,  984.08,    7.52,   97.40,    0.00,    0.00
26.11.2003 02:40:00,  984.11,    7.52,   97.60,    0.00,    0.00
26.11.2003 02:50:00,  983.85,    7.55,   97.70,    0.00,    0.00
26.11.2003 03:00:00,  983.61,    7.57,   97.60,    0.00,    0.00
26.11.2003 03:10:00,  983.63,    7.52,   97.40,    0.00,    0.00
26.11.2003 03:20:00,  983.51,    7.44,   97.50,    0.00,    0.00
26.11.2003 03:30:00,  983.45,    7.35,   97.50,    0.00,    0.00
26.11.2003 03:40:00,  983.44,    7.28,   97.50,    0.00,    0.00
26.11.2003 03:50:00,  983.44,    7.21,   97.50,    0.00,    0.00
26.11.2003 04:00:00,  983.44,    6.99,   97.40,    0.00,    0.00
26.11.2003 04:10:00,  983.40,    6.86,   97.70,    0.00,    0.00
26.11.2003 04:20:00,  983.35,    6.74,   97.80,    0.00,    0.00
26.11.2003 04:30:00,  983.32,    6.64,   97.90,    0.00,    0.00
26.11.2003 04:40:00,  983.32,    6.44,   97.90,    0.00,    0.00
26.11.2003 04:50:00,  983.20,    6.32,   98.20,    0.00,    0.00
26.11.2003 05:00:00,  983.20,    6.19,   98.20,    0.00,    0.00
26.11.2003 05:10:00,  983.13,    6.10,   98.40,    0.00,    0.00
26.11.2003 05:20:00,  983.08,    6.07,   98.60,    0.00,    0.00
26.11.2003 05:30:00,  983.04,    6.13,   98.70,    0.00,    0.00
26.11.2003 05:40:00,  982.92,    5.93,   98.40,    0.00,    0.00
26.11.2003 05:50:00,  982.94,    5.66,   98.40,    0.00,    0.00
26.11.2003 06:00:00,  982.98,    5.41,   98.40,    0.00,    0.00
26.11.2003 06:10:00,  983.05,    5.38,   98.90,    0.00,    0.00
26.11.2003 06:20:00,  983.10,    5.57,   99.10,    0.00,    0.00
26.11.2003 06:30:00,  983.02,    5.45,   98.50,    0.00,    0.00
26.11.2003 06:40:00,  983.14,    5.25,   98.90,    0.00,    0.00
